Passenger ID;First Name;Last Name;Gender;Age;Nationality;Airport Name;Airport Country Code;Country Name;Airport Continent;Continents;Departure Date;Arrival Airport;Pilot Name;Flight Status;Ticket Type;Passenger Status
ABVWIg;Edithe;Leggis;Female;62;Japan;Coldfoot Airport;US;United States;NAM;North America;6/28/2022;CXF;Edithe Leggis;On Time;Business;On Time
jkXXAX;Elwood;Catt;Male;62;Nicaragua;Kugluktuk Airport;CA;Canada;NAM;North America;12/26/2022;YCO;Elwood Catt;On Time;Business;On Time
CdUz2g;Darby;Felgate;Male;67;Russia;Grenoble-Is?re Airport;FR;France;EU;Europe;1/18/2022;GNB;Darby Felgate;On Time;Business;On Time
BRS38V;Dominica;Pyle;Female;71;China;Ottawa / Gatineau Airport;CA;Canada;NAM;North America;9/16/2022;YND;Dominica Pyle;Delayed;Business;On Time
9kvTLo;Bay;Pencost;Male;21;China;Gillespie Field;US;United States;NAM;North America;2/25/2022;SEE;Bay Pencost;On Time;Business;On Time
nMJKVh;Lora;Durbann;Female;55;Brazil;Û;BR;Brazil;SAM;South America;6/10/2022;LEC;Lora Durbann;On Time;Business;On Time
8IPFPE;Rand;Bram;Male;73;Ivory Coast;Duxford Aerodrome;GB;United Kingdom;EU;Europe;10/30/2022;QFO;Rand Bram;Cancelled;Business;On Time
pqixbY;Perceval;Dallosso;Male;36;Vietnam;Maestro Wilson Fonseca Airport;BR;Brazil;SAM;South America;4/7/2022;STM;Perceval Dallosso;Cancelled;Business;On Time
QNAs2R;Aleda;Pigram;Female;35;Palestinian Territory;Venice Marco Polo Airport;IT;Italy;EU;Europe;8/20/2022;VCE;Aleda Pigram;On Time;Business;On Time
3jmudz;Burlie;Schustl;Male;13;Thailand;Vermilion Airport;CA;Canada;NAM;North America;4/6/2022;YVG;Burlie Schustl;On Time;Business;On Time
2P41gZ;Porty;Jori;Male;39;Tunisia;Nuevo Casas Grandes Airport;MX;Mexico;NAM;North America;5/27/2022;NCG;Porty Jori;Cancelled;Business;On Time
sBf524;Briant;De La Haye;Male;71;Russia;Ruben Cantu Airport;PA;Panama;NAM;North America;2/6/2022;SYP;Briant De La Haye;Delayed;Business;On Time
PlwJZT;Kalie;Scoble;Female;47;Sweden;Loralai Airport;PK;Pakistan;AS;Asia;3/19/2022;LRG;Kalie Scoble;Delayed;Business;On Time
iU75x3;Catriona;Beaument;Female;77;Russia;Cudal Airport;AU;Australia;OC;Oceania;3/24/2022;CUG;Catriona Beaument;Delayed;Business;On Time
GUta6R;Amberly;Handling;Female;32;China;Farmington Regional Airport;US;United States;NAM;North America;3/7/2022;FAM;Amberly Handling;Delayed;Business;On Time
8qA80a;Dyna;De'Vere - Hunt;Female;22;China;Oudtshoorn Airport;ZA;South Africa;AF;Africa;7/18/2022;OUH;Dyna De'Vere - Hunt;Cancelled;Business;On Time
2haCDu;Janella;Hardaker;Female;28;Colombia;Zaraza Airport;VE;Venezuela, Bolivarian Republic of;SAM;South America;9/23/2022;ZRZ;Janella Hardaker;On Time;Business;On Time
WiVl8o;Alvin;Wenzel;Male;12;Greece;Enshi Airport;CN;China;AS;Asia;3/29/2022;ENH;Alvin Wenzel;Delayed;Business;On Time
e0H5LI;Jerrine;Peeters;Female;87;Philippines;Thompson Airport;CA;Canada;NAM;North America;11/3/2022;YTH;Jerrine Peeters;Cancelled;Business;On Time
nL8kyD;Warner;Driutti;Male;62;China;Guilin Liangjiang International Airport;CN;China;AS;Asia;9/5/2022;KWL;Warner Driutti;Cancelled;Business;On Time
9iT79e;Paige;Hayhow;Male;24;Sweden;Crested Butte Airpark;US;United States;NAM;North America;2/19/2022;CSE;Paige Hayhow;Delayed;Business;On Time
kEARqP;Dorisa;Skill;Female;19;Ukraine;St Augustin Airport;CA;Canada;NAM;North America;11/5/2022;YIF;Dorisa Skill;Cancelled;Business;On Time
dx3NWh;Bobbye;Patmore;Female;45;China;Port Berg? Airport;MG;Madagascar;AF;Africa;8/24/2022;WPB;Bobbye Patmore;On Time;Business;On Time
Dpafly;Jayme;Dairton;Female;29;Indonesia;Hato Corozal Airport;CO;Colombia;SAM;South America;8/6/2022;HTZ;Jayme Dairton;Delayed;Business;On Time
WV3aXu;Sayre;Stroyan;Male;87;Indonesia;Elkhart Municipal Airport;US;United States;NAM;North America;3/20/2022;EKI;Sayre Stroyan;Cancelled;Business;On Time
f27tyG;Joellyn;Stutter;Female;8;Croatia;Timbedra Airport;MR;Mauritania;AF;Africa;2/19/2022;TMD;Joellyn Stutter;On Time;Business;On Time
g2jtbv;Julietta;Delahunt;Female;14;Democratic Republic of the Congo;Bagan Airport;MM;Myanmar;AS;Asia;10/3/2022;NYU;Julietta Delahunt;Delayed;Business;On Time
KQmI30;Halie;Jewar;Female;53;France;Wiley Post Will Rogers Memorial Airport;US;United States;NAM;North America;12/5/2022;BRW;Halie Jewar;Delayed;Business;On Time
uoKrdd;Jessamyn;Buddles;Female;6;Peru;Gamboma Airport;CG;Congo;AF;Africa;4/9/2022;GMM;Jessamyn Buddles;Delayed;Business;On Time
BhLqLM;Clevie;Clubbe;Male;35;China;Kasaba Bay Airport;ZM;Zambia;AF;Africa;4/14/2022;ZKB;Clevie Clubbe;Delayed;Business;On Time
jy543k;Magdalen;Claiden;Female;14;China;Faleolo International Airport;WS;Samoa;OC;Oceania;7/22/2022;APW;Magdalen Claiden;Delayed;Business;On Time
ow3B76;Celina;Boothebie;Female;58;Latvia;Gorge Harbour Seaplane Base;CA;Canada;NAM;North America;8/5/2022;YGE;Celina Boothebie;Cancelled;Business;On Time
sP3mCk;Murvyn;Duff;Male;19;Germany;Nesson Airport;NC;New Caledonia;OC;Oceania;3/25/2022;HLU;Murvyn Duff;Cancelled;Business;On Time
yewgFO;Lyndsie;Dyball;Female;22;Czech Republic;Malabo Airport;GQ;Equatorial Guinea;AF;Africa;9/23/2022;SSG;Lyndsie Dyball;Delayed;Business;On Time
m3EzMU;Ashlie;Rotham;Female;44;Ireland;Zahn's Airport;US;United States;NAM;North America;11/23/2022;AYZ;Ashlie Rotham;Delayed;Business;On Time
L0fKMv;Gardiner;Ferbrache;Male;9;Sweden;Gora Airstrip;PG;Papua New Guinea;OC;Oceania;6/25/2022;GOC;Gardiner Ferbrache;On Time;Business;On Time
CCMELG;Rudolph;Housbie;Male;74;Iran;Campbell River Airport;CA;Canada;NAM;North America;7/22/2022;YBL;Rudolph Housbie;Delayed;Business;On Time
xzTlBZ;Dun;Craythorn;Male;32;China;Moki Airport;PG;Papua New Guinea;OC;Oceania;12/21/2022;MJJ;Dun Craythorn;Cancelled;Business;On Time
HKk0Wz;Dasha;Eppson;Female;37;Indonesia;Bairnsdale Airport;AU;Australia;OC;Oceania;1/11/2022;BSJ;Dasha Eppson;On Time;Business;On Time
HyzgMb;Bibby;Evershed;Female;73;Indonesia;Colonel Hill Airport;BS;Bahamas;NAM;North America;12/11/2022;CRI;Bibby Evershed;Delayed;Business;On Time
m0Y9PX;Ransom;Chippindale;Male;54;Peru;Minlaton Airport;AU;Australia;OC;Oceania;12/15/2022;XML;Ransom Chippindale;On Time;Business;On Time
Dp1Yk1;Zelig;Brinded;Male;61;Brazil;Cincinnati Northern Kentucky International Airport;US;United States;NAM;North America;6/16/2022;CVG;Zelig Brinded;On Time;Business;On Time
qBeyHc;Rosalyn;Vondrys;Female;56;China;Rar Gwamar Airport;ID;Indonesia;AS;Asia;7/8/2022;DOB;Rosalyn Vondrys;Delayed;Business;On Time
nUcxxq;Lamond;Ahmed;Male;21;Croatia;Sawyer International Airport;US;United States;NAM;North America;5/17/2022;MQT;Lamond Ahmed;Cancelled;Business;On Time
E3lxE1;Anders;Treadger;Male;62;Madagascar;Mirny Airport;RU;Russian Federation;AS;Asia;2/21/2022;MJZ;Anders Treadger;On Time;Business;On Time
gieC4F;Haroun;holmes;Male;54;United States;Susanville Municipal Airport;US;United States;NAM;North America;3/21/2022;SVE;Haroun holmes;On Time;Business;On Time
N9wtod;Kristan;Metzing;Female;37;Peru;Wichita Eisenhower National Airport;US;United States;NAM;North America;11/8/2022;ICT;Kristan Metzing;Delayed;Business;On Time
2GBRsN;Willie;Netherwood;Male;85;Russia;Kavieng Airport;PG;Papua New Guinea;OC;Oceania;6/22/2022;KVG;Willie Netherwood;On Time;Business;On Time
FaU9VX;Aldon;Ridsdell;Male;24;Ghana;Arapiraca Airport;BR;Brazil;SAM;South America;4/26/2022;APQ;Aldon Ridsdell;Delayed;Business;On Time
kqtQSY;Chrotoem;Abels;Male;62;Russia;Port Lincoln Airport;AU;Australia;OC;Oceania;3/6/2022;PLO;Chrotoem Abels;On Time;Business;On Time
IsAutB;Andy;Kettleson;Male;50;China;Robor? Airport;BO;Bolivia, Plurinational State of;SAM;South America;5/13/2022;RBO;Andy Kettleson;Cancelled;Business;On Time
38dxcj;Dredi;Curd;Female;45;Russia;Gasp? (Michel-Pouliot) Airport;CA;Canada;NAM;North America;5/15/2022;YGP;Dredi Curd;Cancelled;Business;On Time
fXol41;Tessy;Athelstan;Female;83;Sweden;Kenmore Air Harbor Seaplane Base;US;United States;NAM;North America;12/8/2022;LKE;Tessy Athelstan;On Time;Business;On Time
09lGmv;Tamas;Vigneron;Male;58;Mali;Diamantina Lakes Airport;AU;Australia;OC;Oceania;11/23/2022;DYM;Tamas Vigneron;Delayed;Business;On Time
ZEtA0W;Gnni;Chaperling;Female;17;Brazil;Quzhou Airport;CN;China;AS;Asia;9/22/2022;JUZ;Gnni Chaperling;On Time;Business;On Time
teCvT2;Margaux;Lattin;Female;76;Guatemala;McGhee Tyson Airport;US;United States;NAM;North America;2/7/2022;TYS;Margaux Lattin;Delayed;Business;On Time
2Fdmm7;Anabella;Tutchings;Female;51;China;Mulika Lodge Airport;KE;Kenya;AF;Africa;7/27/2022;JJM;Anabella Tutchings;Cancelled;Business;On Time
z50jvE;Joeann;Gotcliff;Female;77;Kyrgyzstan;Badu Island Airport;AU;Australia;OC;Oceania;11/24/2022;BDD;Joeann Gotcliff;Delayed;Business;On Time
NvdMpW;Peri;Battram;Female;16;Peru;Putao Airport;MM;Myanmar;AS;Asia;12/18/2022;PBU;Peri Battram;Cancelled;Business;On Time
Zf643n;Eugenius;Headon;Male;77;Ukraine;Ouahigouya Airport;BF;Burkina Faso;AF;Africa;4/29/2022;OUG;Eugenius Headon;On Time;Business;On Time
sF1bgv;Erwin;Baise;Male;12;Haiti;Tahsis Seaplane Base;CA;Canada;NAM;North America;1/31/2022;ZTS;Erwin Baise;Cancelled;Business;On Time
0auTO9;Leta;Tartt;Female;62;Afghanistan;Albert Lea Municipal Airport;US;United States;NAM;North America;7/5/2022;AEL;Leta Tartt;On Time;Business;On Time
